"GEOID","Population","Housing_Units"
"060014001001",1789,784
"060014001002",1249,611
"060014002001",1022,464
"060014002002",979,428
"060014003001",1123,528
"060014003002",1528,850
"060014003003",1390,676
"060014003004",1463,710
"060014004001",1558,788
"060014004002",1353,593
"060014004003",1201,577
"060014005001",2018,968
"060014005002",905,380
"060014005003",721,346
"060014006001",1076,482
"060014006002",712,290
"060014007001",1254,593
"060014007002",1269,563
"060014007003",810,363
"060014007004",1175,548
"060014008001",1471,758
"060014008002",1154,475
"060014008003",1292,602
"060014009001",1330,641
"060014009002",1184,560
"060014010001",987,398
"060014010002",841,371
"060014010003",1156,522
"060014010004",765,360
"060014010005",1108,457
"060014010006",1240,595
"060014011001",829,379
"060014011002",1302,788
"060014011003",1028,485
"060014011004",1807,1075
"060014012001",1222,652
"060014012002",946,510
"060014012003",821,350
"060014013001",2336,1158
"060014013002",2046,720
"060014013003",1505,975
"060014014001",1457,502
"060014014002",2185,833
"060014014003",1713,460
"060014015001",1208,549
"060014015002",710,332
"060014015003",743,340
"060014016001",1410,519
"060014016002",1561,498
"060014017001",1678,697
"060014017002",1783,499
"060014017003",2660,751
"060014018001",1076,428
"060014018002",905,420
"060014022001",1456,539
"060014022002",620,251
"060014022003",1174,260
"060014024001",1056,471
"060014024002",1403,692
"060014025001",1273,490
"060014025002",737,295
"060014026001",1226,673
"060014027001",673,359
"060014027002",1154,451
"060014028011",1031,454
"060014028012",986,405
"060014028013",924,586
"060014028021",462,240
"060014028022",991,718
"060014029001",1148,969
"060014029002",769,533
"060014030001",1141,637
"060014030002",1138,615
"060014030003",728,511
"060014031001",812,482
"060014031002",878,504
"060014033011",1043,516
"060014033012",956,315
"060014033021",1041,637
"060014033022",1324,646
"060014033023",855,576
"060014034011",1198,767
"060014034012",970,663
"060014034013",863,655
"060014034021",324,143
"060014034022",1200,822
"060014035011",1045,745
"060014035012",1947,1074
"060014035013",794,367
"060014035014",2094,1535
"060014035021",919,558
"060014035022",1229,749
"060014036001",776,469
"060014036002",1213,741
"060014036003",2728,1555
"060014037011",1279,684
"060014037012",1507,998
"060014037021",777,444
"060014037022",1372,855
"060014038001",675,249
"060014038002",819,479
"060014038003",774,486
"060014038004",1442,764
"060014039001",1507,858
"060014039002",797,413
"060014039003",1639,1043
"060014040001",1025,658
"060014040002",1287,720
"060014040003",737,479
"060014041011",1308,769
"060014041012",928,526
"060014041013",903,541
"060014041021",1478,1042
"060014041022",1038,670
"060014042001",1050,401
"060014042002",1346,514
"060014042003",1245,531
"060014043001",1211,473
"060014043002",938,373
"060014043003",1267,563
"060014044001",1790,659
"060014044002",1307,525
"060014044003",1818,770
"060014044004",706,466
"060014045011",1771,710
"060014045021",979,401
"060014045022",1442,581
"060014045023",1783,729
"060014045024",1990,854
"060014046001",1153,483
"060014046002",740,321
"060014046003",1167,493
"060014046004",1491,605
"060014047001",883,377
"060014047002",1099,452
"060014048001",1355,620
"060014048002",1402,681
"060014049001",905,404
"060014049002",1224,647
"060014049003",1135,540
"060014049004",1194,554
"060014050001",799,353
"060014050002",1161,540
"060014050003",1353,703
"060014051001",1052,388
"060014051002",691,269
"060014051003",909,336
"060014051004",687,267
"060014051005",1024,375
"060014052001",1381,713
